2020-02-12 10:40:55.917 DEBUG 12320 --- [main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/C:/user/default/AppData/Local/Temp/surefire8731885627385697619/surefirebooter7016122352169726482.jar]
2020-02-12 10:40:56.071  INFO 12320 --- [main] c.m.community.CommunityApplicationTests  : Starting CommunityApplicationTests on LAPTOP-SSIEOL25 with PID 12320 (started by Ä¾ÒÑ³ÉÖÛ in E:\JavaProjects\SpringBootProject\community)
2020-02-12 10:40:56.071 DEBUG 12320 --- [main] c.m.community.CommunityApplicationTests  : Running with Spring Boot v2.2.4.RELEASE, Spring v5.2.3.RELEASE
2020-02-12 10:40:56.072  INFO 12320 --- [main] c.m.community.CommunityApplicationTests  : No active profile set, falling back to default profiles: default
2020-02-12 10:40:56.074 DEBUG 12320 --- [main] o.s.boot.SpringApplication               : Loading source class cn.mycz.community.CommunityApplication
2020-02-12 10:40:56.206 DEBUG 12320 --- [main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/E:/JavaProjects/SpringBootProject/community/target/classes/application.yml' (classpath:/application.yml)
2020-02-12 10:40:56.207 DEBUG 12320 --- [main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@503ecb24
2020-02-12 10:40:56.232 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-02-12 10:40:56.252 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-02-12 10:40:56.310 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\advice\CustomizeExceptionHandler.class]
2020-02-12 10:40:56.317 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\AuthorizeController.class]
2020-02-12 10:40:56.321 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\CommentController.class]
2020-02-12 10:40:56.322 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\CustomizeErrorController.class]
2020-02-12 10:40:56.323 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\FileUploadController.class]
2020-02-12 10:40:56.324 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\IndexController.class]
2020-02-12 10:40:56.325 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\ProfileController.class]
2020-02-12 10:40:56.327 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\PublishController.class]
2020-02-12 10:40:56.333 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\controller\QuestionController.class]
2020-02-12 10:40:56.341 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\interceptor\SessionInterceptor.class]
2020-02-12 10:40:56.342 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\interceptor\WebConfig.class]
2020-02-12 10:40:56.360 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\provider\GithubProvider.class]
2020-02-12 10:40:56.362 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\provider\UCloudProvider.class]
2020-02-12 10:40:56.365 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\service\CommentService.class]
2020-02-12 10:40:56.367 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\service\NotificationService.class]
2020-02-12 10:40:56.369 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\service\PaginationService.class]
2020-02-12 10:40:56.370 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\service\QuestionService.class]
2020-02-12 10:40:56.371 DEBUG 12320 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\service\UserService.class]
2020-02-12 10:40:56.597 DEBUG 12320 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
